Periode;org_1;org_2;org_3;sto;order_id;trouble_no;flag_exclude_all;is_duplicate_order;Wilsus
202606;AREA 4;KALIMANTAN;PALANGKARAYA;PLK;AOi1260425112629206c00a40;INC50445456;0;0;0
202606;AREA 3;JATENG-DIY;SEMARANG;LSE;AOi426042006550688852d570;INC50445119;0;0;0
202606;AREA 3;JATIM;SURABAYA;ARB;AOi4260422061353291399440;INC50443456;0;0;0
202606;AREA 3;JATIM;SIDOARJO;SPJ;AOi42604260800579893d4eb0;INC50443147;0;0;0
202606;AREA 4;KALIMANTAN;TARAKAN;TRK;AOk4260429021345430a55a20;INC50442455;0;0;0
202606;AREA 1;SUMBAGUT;CENTRAL MEDAN;LBP;AOi4260424070238640361e60;INC50441059;0;0;0
202606;AREA 4;SULAWESI;KENDARI;MDG;AOi42604260845500508ca620;INC50440473;0;0;0
202606;AREA 1;SUMBAGUT;BANDA ACEH;TKN;AOi42604220714302469c56f0;INC50438551;0;0;0
202606;AREA 4;KALIMANTAN;BALIKPAPAN;MLA;AOi426042510585719149c290;INC50437146;0;0;0
202606;AREA 4;KALIMANTAN;PONTIANAK;PTK;PDAk4260430112217286407060;INC50434426;0;0;0
202606;AREA 3;JATIM;SURABAYA;LKI;AOi42604241107019833171e0;INC50434355;0;0;0
202606;AREA 3;BALI NUSRA;MATARAM;SBW;AOi42604240802399074c4dd0;INC50430802;0;0;0
202606;AREA 1;SUMBAGSEL;LAMPUNG;KBI;AOi4260421094409840f5a3f0;INC50429944;0;0;0
202606;AREA 1;SUMBAGUT;BANDA ACEH;BNA;AOi42604211125310813c1980;INC50429516;0;0;0
202606;AREA 4;KALIMANTAN;BANJARMASIN;LUL;AOi4260429073022733120cf0;INC50428711;0;0;0
202606;AREA 2;JABAR;BANDUNG;TGE;AOi4260422010320791984340;INC50426792;0;0;0
202606;AREA 4;KALIMANTAN;PALANGKARAYA;PRC;AOi42604201248340253d5cf0;INC50426418;0;0;0
202606;AREA 4;SULAWESI;MAKASSAR;TMA;AOi4260424023037091ee8500;INC50424377;0;0;0
202606;AREA 1;SUMBAGSEL;JAMBI;MRO;AOi4260421071541021a46c90;INC50422947;0;0;0
202606;AREA 1;SUMBAGUT;CENTRAL MEDAN;SPM;AOi4260422081907366b0a8a0;INC50422321;0;0;0
202606;AREA 3;BALI NUSRA;DENPASAR;KLM;PDAk4260428092846479ed8ec0;INC50421287;0;0;0
202606;AREA 4;KALIMANTAN;BANJARMASIN;PLE;AOi4260421033913165e9e810;INC50420553;0;0;0
202606;AREA 4;SULAWESI;PARE-PARE;PRE;AOi42604220319339642e5d30;INC50420210;0;0;0
202606;AREA 4;SULAWESI;KENDARI;MDG;AOi42604280704138390d18e0;INC50419555;0;0;0
202606;AREA 2;CENTRAL JABOTABEK;SOUTHERN JAKARTA;TBE;AOi4260428124935527d8a3d0;INC50418072;0;0;0
202606;AREA 2;JABAR;BANDUNG;CJR;AOi126042312342313957f560;INC50416626;0;0;0
202606;AREA 4;KALIMANTAN;TARAKAN;NNK;AOk4260423024644045a5a840;INC50416423;0;0;0
202606;AREA 4;KALIMANTAN;PONTIANAK;SAO;AOi4260429020834679ef0d80;INC50415716;0;0;0
202606;AREA 2;JABAR;CIREBON;JCG;AOi1260428124744648fe44e0;INC50413686;0;0;0
202606;AREA 1;SUMBAGSEL;BENGKULU;TSS;AOi42604180540305871cb600;INC50413514;0;0;0
202606;AREA 4;KALIMANTAN;BANJARMASIN;ULI;AOi42604270704082158e7120;INC50411498;0;0;0
202606;AREA 4;KALIMANTAN;BANJARMASIN;KYG;AOi4260427092600106eb4110;INC50400415;0;0;0
202606;AREA 3;BALI NUSRA;DENPASAR;UBN;AOi4260421094131706b21910;INC50400035;0;0;0
202606;AREA 1;SUMBAGSEL;BENGKULU;KPH;AOi4260423012224689b38790;INC50398574;0;0;0
202606;AREA 3;JATENG-DIY;PURWOKERTO;AJB;AOi4260429125528918d712f0;INC50398201;0;0;0
202606;AREA 1;SUMBAGUT;CENTRAL MEDAN;SPM;AOs3260428103629218add300;INC50397748;0;0;0
202606;AREA 1;SUMBAGTENG;PEKANBARU;ARK;AOi4260416075902725eeade0;INC50395690;0;0;0
202606;AREA 4;SULAWESI;MAKASSAR;MAT;AOi4260419102840272be2b80;INC50395138;0;0;0
202606;AREA 4;KALIMANTAN;PONTIANAK;JAW;AOs32604240253154243e6a40;INC50395022;0;0;0
202606;AREA 2;WESTERN JABOTABEK;SERANG;KSB;AOi42604191137476117036e0;INC50393556;0;0;0
202606;AREA 2;CENTRAL JABOTABEK;NORTHERN JAKARTA;CKG;AOs3260430094937164ee1c50;INC50393132;0;0;0
202606;AREA 4;KALIMANTAN;PONTIANAK;STA;AOi4260421015738978cc95c0;INC50392736;0;0;0
202606;AREA 3;BALI NUSRA;MATARAM;MLK;AOi426042502322924080a640;INC50392163;0;0;0
202606;AREA 1;SUMBAGTENG;BATAM;SLU;AOi4260421040507501e49e30;INC50391772;0;0;0
202606;AREA 2;WESTERN JABOTABEK;SERANG;TGR;AOi1260428121322555a1bae0;INC50390131;0;0;0
202606;AREA 4;SULAWESI;MANADO;MDO;AOi4260426125010554d1a8f0;INC50389300;0;0;0
202606;AREA 4;KALIMANTAN;BALIKPAPAN;TGG;AOi4260423032016218e63850;INC50388704;0;0;0
202606;AREA 1;SUMBAGUT;WESTERN MEDAN;LSM;AOi4260418055154877cd3d90;INC50388364;0;0;0
202606;AREA 1;SUMBAGUT;BANDA ACEH;GEU;AOi4260421014611275535880;INC50386079;0;0;0
202606;AREA 1;SUMBAGUT;BANDA ACEH;SGI;AOi4260422034137853c86a10;INC50384488;0;0;0
202606;AREA 3;BALI NUSRA;FLORES;MMR;AOi4260424024606202719780;INC50384409;0;0;0
202606;AREA 2;CENTRAL JABOTABEK;SOUTHERN JAKARTA;KAL;AOi4260421071417882cf3150;INC50383660;0;0;0
202606;AREA 2;JABAR;BANDUNG;PDL;AOi426042102280376937dd40;INC50383286;0;0;0
202606;AREA 1;SUMBAGUT;PEMATANG SIANTAR;ABA;AOi4260424010729651cc90c0;INC50383169;0;0;0
202606;AREA 4;SULAWESI;PALU;DGL;AOi426042901284483400eed0;INC50381937;0;0;0
202606;AREA 1;SUMBAGUT;CENTRAL MEDAN;TMU;AOi4260427043017778ee0c70;INC50379782;0;0;0
202606;AREA 1;SUMBAGUT;RANTAU PRAPAT;ANR;AOi426042009431926176cc30;INC50379039;0;0;0
202606;AREA 3;BALI NUSRA;KUPANG;WGP;AOk4260424040705060dcb8a0;INC50376335;0;0;0
202606;AREA 3;JATIM;SURABAYA;MGO;AOi42604200225528374f9750;INC50375917;0;0;0
202606;AREA 4;SULAWESI;MAKASSAR;PKN;AOi42604200556279456c5ea0;INC50374380;0;0;0
202606;AREA 2;WESTERN JABOTABEK;TANGERANG;TAN;AOi426042608462233110b0c0;INC50372852;0;0;0
202606;AREA 1;SUMBAGUT;CENTRAL MEDAN;CTD;AOs32604281117537297cd3e0;INC50371733;0;0;0
202606;AREA 1;SUMBAGUT;PADANG SIDEMPUAN;TUK;AOi4260421070049497e3bcd0;INC50368537;0;0;0
202606;AREA 3;JATIM;SURABAYA;KJR;AOi426042309090654741a460;INC50367708;0;0;0
202606;AREA 1;SUMBAGSEL;JAMBI;BKO;AOi42604300235143351c2420;INC50367131;0;0;0
202606;AREA 3;BALI NUSRA;DENPASAR;KLM;AOi4260426062731818f481b0;INC50367148;0;0;0
202606;AREA 1;SUMBAGUT;BANDA ACEH;SMM;AOi4260426010707156d32620;INC50364453;0;0;0
202606;AREA 4;KALIMANTAN;BANJARMASIN;AMT;AOi4260426064735825b76c70;INC50363808;0;0;0
202606;AREA 3;JATENG-DIY;PEKALONGAN;SLW;AOi4260425021714468e50710;INC50362033;0;0;0
202606;AREA 1;SUMBAGTENG;PADANG;SWL;AOi4260423102441693f146a0;INC50361818;0;0;0
202606;AREA 2;JABAR;SOREANG;SMD;AOi4260427092135266542ae0;INC50361218;0;0;0
202606;AREA 4;MALUKU DAN PAPUA;SORONG;WMR;AOi426042609232224095afa0;INC50358813;0;0;0
202606;AREA 2;JABAR;TASIKMALAYA;GRU;AOi42604230347070487b0120;INC50357878;0;0;0
202606;AREA 4;SULAWESI;PALU;TOL;AOi4260425042158048d208d0;INC50357668;0;0;0
202606;AREA 1;SUMBAGUT;RANTAU PRAPAT;RAP;AOi4260428111337904843910;INC50357636;0;0;0
202606;AREA 2;JABAR;BANDUNG;PDL;AOk42604180602445916bb640;INC50356187;0;0;0
202606;AREA 2;JABAR;BANDUNG;LEM;AOs3260423094515884a38b20;INC50355968;0;0;0
202606;AREA 1;SUMBAGSEL;BENGKULU;BTH;AOi42604230802035068d7c60;INC50355759;0;0;0
202606;AREA 4;MALUKU DAN PAPUA;SORONG;WMR;AOi42604191218525503e1940;INC50354023;0;0;0
202606;AREA 2;JABAR;TASIKMALAYA;BNJ;AOi4260419023439195d56cb0;INC50353194;0;0;0
202606;AREA 2;CENTRAL JABOTABEK;NORTHERN JAKARTA;MRY;AOi1260423083353226310f10;INC50351170;0;0;0
202606;AREA 4;KALIMANTAN;BANJARMASIN;LUL;AOi42604231259110699dba10;INC50350974;0;0;0
202606;AREA 1;SUMBAGUT;BANDA ACEH;SUS;AOi4260418053456474681a10;INC50348699;0;0;0
202606;AREA 1;SUMBAGUT;WESTERN MEDAN;KGH;AOi426040509431472440a9e0;INC50347935;0;0;0
202606;AREA 1;SUMBAGSEL;PALEMBANG;MUD;AOi4260418085643274863bf0;INC50347705;0;0;0
202606;AREA 1;SUMBAGUT;CENTRAL MEDAN;TMU;AOi4260425110645745a7f680;INC50346671;0;0;0
202606;AREA 1;SUMBAGUT;CENTRAL MEDAN;CTD;AOi4260421010148457195800;INC50346326;0;0;0
202606;AREA 3;JATENG-DIY;YOGYAKARTA;BBS;AOk426042710504820021af10;INC50346274;0;0;0
202606;AREA 3;BALI NUSRA;DENPASAR;UBN;AOi42604301131532354c18d0;INC50345962;0;0;0
202606;AREA 4;KALIMANTAN;BALIKPAPAN;MGG;AOi4260421110414373db7800;INC50345548;0;0;0
202606;AREA 2;EASTERN JABOTABEK;BEKASI;PCM;AOi4260420064917237e2c450;INC50343879;0;0;0
202606;AREA 1;SUMBAGUT;BANDA ACEH;BNA;AOk4260430101518038b34850;INC50341713;0;0;0
202606;AREA 1;SUMBAGUT;WESTERN MEDAN;LSM;AOi4260428083958314ae0330;INC50341318;0;0;0
202606;AREA 4;KALIMANTAN;BANJARMASIN;BJM;AOi4260424113533731e9c910;INC50340139;0;0;0
202606;AREA 4;SULAWESI;MAKASSAR;BAL;AOi426042701011475928a7f0;INC50339725;0;0;0
202606;AREA 1;SUMBAGSEL;PALEMBANG;BTA;AOi4260428121301298398e50;INC50339158;0;0;0
202606;AREA 1;SUMBAGUT;BANDA ACEH;SUS;AOi42604230145560930e9a10;INC50338325;0;0;0
202606;AREA 3;JATIM;JEMBER;KRZ;AOi42604200610505507967b0;INC50338405;0;0;0
202606;AREA 1;SUMBAGUT;RANTAU PRAPAT;RAP;AOi426042603163661505dea0;INC50332953;0;0;0
202606;AREA 4;SULAWESI;MANADO;TMH;AOk426041610220575670a9c0;INC50332760;0;0;0
202606;AREA 4;SULAWESI;KENDARI;BBU;AOi4260424111810427a6a6e0;INC50330719;0;0;0
202606;AREA 4;SULAWESI;KENDARI;KDR;AOi4260425081406346457ba0;INC50330771;0;0;0
202606;AREA 4;KALIMANTAN;PONTIANAK;SAO;PDAk4260421091531546861520;INC50330059;0;0;0
202606;AREA 4;KALIMANTAN;TARAKAN;TSL;AOk42604230107481792b72d0;INC50329654;0;0;0
202606;AREA 2;JABAR;BANDUNG;BDK;AOi4260422022732193865190;INC50328273;0;0;0
202606;AREA 1;SUMBAGTENG;BATAM;BUM;AOi4260427021701117b82b10;INC50327208;0;0;0
202606;AREA 4;KALIMANTAN;PALANGKARAYA;PRC;AOi4260429115755077761e00;INC50326705;0;0;0
202606;AREA 1;SUMBAGTENG;BATAM;SLU;AOi42604200307104742a27a0;INC50326220;0;0;0
202606;AREA 2;WESTERN JABOTABEK;TANGERANG;CLD;AOi42604261143480581b05a0;INC50326072;0;0;0
202606;AREA 1;SUMBAGUT;CENTRAL MEDAN;PUB;AOk426042503003083728d490;INC50325333;0;0;0
202606;AREA 2;JABAR;BANDUNG;CMI;AOi4260420035037961515ba0;INC50324319;0;0;0
202606;AREA 4;KALIMANTAN;TARAKAN;JWT;PDAk4260423090152552d8be00;INC50322235;0;0;0
202606;AREA 4;KALIMANTAN;BANJARMASIN;BBR;AOk4260428032953097f496a0;INC50321827;0;0;0
202606;AREA 4;KALIMANTAN;PALANGKARAYA;MTW;AOi426041604062205079cd90;INC50321339;0;0;0
202606;AREA 1;SUMBAGUT;CENTRAL MEDAN;CTD;AOk4260428043444351d6fab0;INC50319067;0;0;0
202606;AREA 3;BALI NUSRA;KUPANG;KPN;AOi4260420021545009119050;INC50318640;0;0;0
202606;AREA 3;BALI NUSRA;MATARAM;DMP;AOi42604230154200424c7520;INC50318043;0;0;0
202606;AREA 3;JATENG-DIY;PURWOKERTO;KLP;AOi42604180924027887ffb50;INC50316584;0;0;0
202606;AREA 4;KALIMANTAN;BALIKPAPAN;BRU;AOi42604210204317602dbff0;INC50316195;0;0;0
202606;AREA 4;SULAWESI;MAKASSAR;TKA;AOi4260418075023632795fb0;INC50316183;0;0;0
202606;AREA 4;KALIMANTAN;PONTIANAK;SNW;AOi426041802560698870e310;INC50314733;0;0;0
202606;AREA 4;SULAWESI;MAKASSAR;PKN;AOi4260408110018546837240;INC50314519;0;0;0
202606;AREA 4;SULAWESI;MAKASSAR;TMA;AOi42603260822294380cb690;INC50314351;0;0;0
202606;AREA 4;SULAWESI;MANADO;AMR;AOi4260419064946091579530;INC50314138;0;0;0
202606;AREA 1;SUMBAGUT;CENTRAL MEDAN;LBP;AOi4260420094629311008650;INC50314107;0;0;0
202606;AREA 3;JATENG-DIY;PEKALONGAN;BTG;AOi4260423105657497efff20;INC50312013;0;0;0
