Periode;tsel_area;tsel_regional;tsel_branch;sto;Order_Type;SLA_Threshold_Hours;reference_for_counting;reason_of_reference;Duration_Hours;SLA_Status
202605;TREG 2;BEKASI KARAWANG;BEKASI;BEK;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202605;TREG 4;KALSELTENG;BANJARMASIN;BJM;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);27,87;Not Comply
202605;TREG 2;BANTEN;CIKUPA;CKA;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);10,90;Comply
202605;TREG 2;JAKARTA INNER;JAKBAR;SLP;create;48,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202605;TREG 2;BEKASI KARAWANG;CIKARANG;CIB;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);4,27;Comply
202605;TREG 1;SUMBAGSEL;LUBUK LINGGAU;LLG;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);318,40;Not Comply
202605;TREG 1;SUMUT;MEDAN;CTD;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);6,41;Comply
202605;TREG 2;PRIANGAN BARAT;CIBINONG;CBI;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);126,57;Not Comply
202605;TREG 2;PRIANGAN BARAT;CIBINONG;BJD;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);131,58;Not Comply
202605;TREG 1;RIAU;RIKEP;NGS;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);6,59;Comply
202605;TREG 2;PRIANGAN BARAT;CIBINONG;TJH;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);59,60;Not Comply
202605;TREG 3;JATIM BARAT;BATU;KPO;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);6,73;Comply
202605;TREG 1;SUMBAR JAMBI;BUKIT TINGGI;PYK;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);4,82;Comply
202605;TREG 2;JAKARTA OUTER;JAKSEL;BIN;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);4,98;Comply
202605;TREG 2;BANDUNG;BANDUNG;BDK;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);31,57;Not Comply
202605;TREG 3;SURAMADU;SURABAYA SELATAN;DMO;create;48,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202605;TREG 2;PRIANGAN BARAT;DEPOK;DEP;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202605;TREG 5;SULBAGTENG;GORONTALO;GTL;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);439,73;Not Comply
202605;TREG 2;BANDUNG;BANDUNG BARAT;RJW;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);7,76;Comply
202605;TREG 1;RIAU;DUMAI;DUM;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);197,77;Not Comply
202605;TREG 2;JAKARTA OUTER;JAKTIM;KLD;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);5,88;Comply
202605;TREG 2;BANDUNG;BANDUNG;DGO;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);32,14;Not Comply
202605;TREG 2;JAKARTA OUTER;JAKSEL;TBE;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);13,17;Comply
202605;TREG 1;SUMBAR JAMBI;SUMBAR;ULK;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);13,69;Comply
202605;TREG 2;BANDUNG;BANDUNG;BDK;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);152,79;Not Comply
202605;TREG 1;RIAU;RIKEP;SLU;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);9,05;Comply
202605;TREG 2;PRIANGAN BARAT;DEPOK;SKJ;create;48,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);76,21;Not Comply
202605;TREG 2;JAKARTA OUTER;JAKTIM;KRG;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);177,54;Not Comply
