Periode;org_1;org_2;org_3;sto;order_id;trouble_no;ket_exclude;Wilsus
202605;AREA 4;KALIMANTAN;BALIKPAPAN;BAM;AOb0260324124048595d3b380;INC48975369;;0
202605;AREA 4;KALIMANTAN;BALIKPAPAN;TNG;AOi4260319055150349a79ef0;INC48975289;;0
202605;AREA 4;KALIMANTAN;PALANGKARAYA;PRC;AOi4260329055057173d67800;INC48975013;;0
202605;AREA 4;KALIMANTAN;TARAKAN;TAJ;AOi42603250754371660823e0;INC48974452;;0
202605;AREA 1;SUMBAGTENG;DUMAI;BKN;AOi4260327083520846e59ae0;INC48973156;;0
202605;AREA 4;KALIMANTAN;PONTIANAK;PUT;AOi42603110209497687d40a0;INC48973140;;0
202605;AREA 4;SULAWESI;KENDARI;MDG;AOi4260310085215887c73640;INC48973041;;0
202605;AREA 3;JATIM;SURABAYA;OMB;AOi42603120215140357b1150;INC48972611;;0
202605;AREA 3;BALI NUSRA;DENPASAR;KLM;AOi1260318064831460e05b30;INC48972254;;0
202605;AREA 1;SUMBAGTENG;PADANG;ULK;AOi4260327024022456898d90;INC48972041;;0
202605;AREA 3;BALI NUSRA;MATARAM;MTR;AOs32603100511575564a1020;INC48971755;;0
202605;AREA 1;SUMBAGUT;RANTAU PRAPAT;KPI;AOi4260305102404656f4ecf0;INC48971632;;0
202605;AREA 1;SUMBAGUT;RANTAU PRAPAT;KPI;AOi42603090833169393020a0;INC48970259;;0
202605;AREA 2;WESTERN JABOTABEK;TANGERANG;LKG;AOi42603121031071335682f0;INC48970006;;0
202605;AREA 1;SUMBAGTENG;PADANG;LBY;AOi12603190339349642843f0;INC48969510;;0
202605;AREA 4;SULAWESI;MANADO;BAH;AOi4260317031031583ac76c0;INC48969237;;0
202605;AREA 1;SUMBAGUT;CENTRAL MEDAN;GLG;AOi426033011095607416a730;INC48966509;;0
202605;AREA 3;BALI NUSRA;KUPANG;OSP;AOi4260311104650345b5d0d0;INC48964117;;0
202605;AREA 4;KALIMANTAN;PALANGKARAYA;KKN;AOi42603070154374689ae7f0;INC48963179;;0
202605;AREA 4;SULAWESI;MANADO;TNT;AOs3260308075017853faffd0;INC48962719;;0
202605;AREA 1;SUMBAGSEL;PALEMBANG;IDL;AOi4260307070446947e54d90;INC48962488;;0
202605;AREA 1;SUMBAGUT;WESTERN MEDAN;LGS;AOi4260330030356646dc0630;INC48962205;;0
202605;AREA 2;EASTERN JABOTABEK;BEKASI;PDE;AOi4260316095206179693280;INC48961803;;0
202605;AREA 2;JABAR;TASIKMALAYA;PMP;AOi42603301023389152b2520;INC48961531;;0
202605;AREA 1;SUMBAGUT;CENTRAL MEDAN;TMU;AOi42603060208008718e7440;INC48959453;;0
202605;AREA 3;JATENG-DIY;PURWOKERTO;CLC;AOi42603100209561697e1130;INC48958530;;0
202605;AREA 3;BALI NUSRA;FLORES;KLH;AOi4260327112958971ad1ed0;INC48958154;;0
202605;AREA 3;JATIM;LAMONGAN;PAD;AOs3260321090934442ae9fe0;INC48957805;;0
202605;AREA 1;SUMBAGUT;PEMATANG SIANTAR;BST;AOi4260319101808668a50610;INC48956631;;0
202605;AREA 3;JATENG-DIY;SEMARANG;UNR;AOi426030505242293826e1e0;INC48956415;;0
202605;AREA 3;BALI NUSRA;MATARAM;MLK;AOi426030311555726536d2e0;INC48954649;;0
202605;AREA 1;SUMBAGSEL;BENGKULU;KPH;AOi426030611584087606f160;INC48953655;;0
202605;AREA 4;KALIMANTAN;PALANGKARAYA;PLK;AOi42603300207387987190b0;INC48952788;;0
202605;AREA 4;KALIMANTAN;PANGKALAN BUN;PBU;AOk42603170411457885b9650;INC48950435;;0
